wall,blockTs,asset,value,feedTs
1783483155,1783483155,ETH/USD,1758822299658456268800,1783482855
1783483155,1783483155,LTC/USD,43599461380625002496,1783483034
1783483155,1783483155,XRP/USD,1100574023999658624,1783482860
1783483155,1783483155,RAIN/USD,0,0
1783483175,1783483175,BTC/USD,62955156742625002782720,1783482854
1783483175,1783483175,ETH/USD,1758822299658456268800,1783482855
1783483175,1783483175,LTC/USD,43599461380625002496,1783483034
1783483175,1783483175,XRP/USD,1100574023999658624,1783482860
1783483175,1783483175,RAIN/USD,0,0
1783483195,1783483195,BTC/USD,62955156742625002782720,1783482854
1783483195,1783483195,ETH/USD,NA,NA
1783483195,1783483195,LTC/USD,43599461380625002496,1783483034
1783483195,1783483195,XRP/USD,1098980377750000000,1783483220
1783483195,1783483195,RAIN/USD,0,0
1783483258,1783483258,BTC/USD,62931497003119869427712,1783483215
1783483258,1783483258,ETH/USD,1758189193825000095744,1783483216
1783483258,1783483258,LTC/USD,43599461380625002496,1783483034
1783483258,1783483258,XRP/USD,1098980377750000000,1783483220
1783483258,1783483258,RAIN/USD,0,0
1783483278,1783483278,BTC/USD,62931497003119869427712,1783483215
1783483278,1783483278,ETH/USD,1758189193825000095744,1783483216
1783483278,1783483278,LTC/USD,43599461380625002496,1783483034
1783483278,1783483278,XRP/USD,1098980377750000000,1783483220
1783483278,1783483278,RAIN/USD,0,0
1783483297,1783483297,BTC/USD,62931497003119869427712,1783483215
1783483297,1783483297,ETH/USD,1758189193825000095744,1783483216
1783483297,1783483297,LTC/USD,43599461380625002496,1783483034
1783483297,1783483297,XRP/USD,1098980377750000000,1783483220
1783483297,1783483297,RAIN/USD,0,0
1783483316,1783483316,BTC/USD,62931497003119869427712,1783483215
1783483316,1783483316,ETH/USD,1758189193825000095744,1783483216
1783483316,1783483316,LTC/USD,43599461380625002496,1783483034
1783483316,1783483316,XRP/USD,1098980377750000000,1783483220
1783483316,1783483316,RAIN/USD,0,0
1783483353,1783483353,BTC/USD,62931497003119869427712,1783483215
1783483353,1783483353,ETH/USD,1758189193825000095744,1783483216
1783483353,1783483353,LTC/USD,43599461380625002496,1783483034
1783483353,1783483353,XRP/USD,1098980377750000000,1783483220
1783483353,1783483353,RAIN/USD,0,0
1783483387,1783483387,BTC/USD,62931497003119869427712,1783483215
1783483387,1783483387,ETH/USD,1758189193825000095744,1783483216
1783483387,1783483387,LTC/USD,43599461380625002496,1783483034
1783483387,1783483387,XRP/USD,1098980377750000000,1783483220
1783483387,1783483387,RAIN/USD,0,0
1783483406,1783483406,BTC/USD,62931497003119869427712,1783483215
1783483406,1783483406,ETH/USD,1758189193825000095744,1783483216
1783483406,1783483406,LTC/USD,43568172000000008192,1783483392
1783483406,1783483406,XRP/USD,1098980377750000000,1783483220
1783483406,1783483406,RAIN/USD,0,0
1783483425,1783483425,BTC/USD,62931497003119869427712,1783483215
1783483425,1783483425,ETH/USD,1758189193825000095744,1783483216
1783483425,1783483425,LTC/USD,43568172000000008192,1783483392
1783483425,1783483425,XRP/USD,1098980377750000000,1783483220
1783483425,1783483425,RAIN/USD,0,0
1783483444,1783483444,BTC/USD,62931497003119869427712,1783483215
1783483444,1783483444,ETH/USD,1758189193825000095744,1783483216
1783483444,1783483444,LTC/USD,43568172000000008192,1783483392
1783483444,1783483444,XRP/USD,1098980377750000000,1783483220
1783483444,1783483444,RAIN/USD,0,0
1783483464,1783483464,BTC/USD,62931497003119869427712,1783483215
1783483464,1783483464,ETH/USD,1758189193825000095744,1783483216
